FIPS,County,State,percent_medicalDebt,percent_uninsured,percent_poverty,percent_chronic,percent_live_births,percent_65,medicare_spending,average_income
8091,Ouray County,Colorado,8.5,10.0,7.2,2.5,11.9,27.7,"6,232","89,953"
8117,Summit County,Colorado,14.6,16.6,8.0,3.6,12.9,12.8,"6,147","101,084"
8113,San Miguel County,Colorado,5.4,8.7,11.3,3.8,8.8,13.5,"5,559","103,024"
8107,Routt County,Colorado,6.0,7.3,10.9,4.6,9.0,14.6,"6,532","106,451"
8007,Archuleta County,Colorado,13.5,10.7,8.8,4.7,7.7,25.5,"6,450","71,666"
8051,Gunnison County,Colorado,3.5,9.5,13.4,4.7,9.7,13.0,"6,610","77,389"
30057,Madison County,Montana,8.2,9.4,8.4,5.0,6.3,28.9,"7,014","71,087"
53055,San Juan County,Washington,3.2,6.4,10.2,5.0,3.4,32.9,"6,919","94,382"
16081,Teton County,Idaho,11.9,6.8,4.5,5.1,8.3,10.9,"7,722","88,054"
16013,Blaine County,Idaho,7.4,12.8,12.5,5.1,6.8,17.8,"7,828","82,455"
8097,Pitkin County,Colorado,5.9,9.9,6.7,5.1,9.8,17.8,"8,399","123,052"
30097,Sweet Grass County,Montana,8.5,5.8,5.7,5.2,5.5,30.2,"8,829","67,334"
2050,Bethel Census Area,Alaska,8.2,20.3,28.3,5.3,6.5,7.2,"7,755","70,804"
8033,Dolores County,Colorado,14.3,5.3,13.2,5.4,22.4,27.6,"7,561","62,136"
8109,Saguache County,Colorado,11.4,13.3,17.6,5.6,13.7,22.4,"5,622","51,603"
56019,Johnson County,Wyoming,7.5,13.0,12.1,5.7,7.8,22.9,"7,910","81,359"
56039,Teton County,Wyoming,8.7,12.7,6.1,5.7,7.8,14.0,"7,394","132,531"
35003,Catron County,New Mexico,9.5,10.7,16.4,5.7,8.3,37.0,"5,538","50,990"
30067,Park County,Montana,12.7,10.3,12.6,5.8,8.0,21.8,"7,571","73,960"
8037,Eagle County,Colorado,8.7,13.5,8.0,5.8,8.6,10.7,"7,304","118,174"
30033,Garfield County,Montana,,11.5,6.0,5.8,,23.1,"5,882","65,237"
8065,Lake County,Colorado,14.5,14.0,14.6,5.8,12.8,10.6,"7,558","64,892"
2261,Valdez-Cordova,Alaska,13.9,19.2,7.8,5.8,5.1,12.3,"8,139","96,106"
16049,Idaho County,Idaho,6.7,10.9,14.3,5.9,5.2,26.9,"7,785","54,281"
8049,Grand County,Colorado,16.2,13.1,9.5,5.9,11.4,16.7,"8,038","86,284"
56011,Crook County,Wyoming,10.7,8.8,9.1,5.9,6.5,19.1,"7,151","74,378"
2240,Southeast Fairbanks Census Area,Alaska,11.0,17.1,10.9,5.9,3.5,13.6,"5,083","80,810"
30031,Gallatin County,Montana,9.1,7.8,11.3,6.1,7.3,12.2,"7,373","90,411"
2110,Juneau City and Borough,Alaska,7.9,10.5,7.7,6.1,5.2,12.5,"7,025","107,328"
48243,Jeff Davis County,Texas,16.7,16.9,3.9,6.2,,34.0,"6,559","57,275"
49025,Kane County,Utah,10.8,13.7,12.4,6.2,7.1,22.5,"7,425","65,456"
8029,Delta County,Colorado,4.2,8.5,18.3,6.2,9.1,25.3,"6,851","65,899"
8027,Custer County,Colorado,10.8,16.2,12.7,6.2,14.1,36.0,"5,809","64,037"
30025,Fallon County,Montana,8.0,10.6,8.9,6.2,7.3,17.8,"9,410","80,843"
16021,Boundary County,Idaho,4.2,16.9,19.3,6.2,5.1,21.3,"6,735","64,115"
6051,Mono County,California,6.0,16.1,12.1,6.3,8.3,14.3,"7,660","84,427"
49001,Beaver County,Utah,14.3,12.7,9.1,6.3,7.5,14.2,"9,430","66,772"
30039,Granite County,Montana,15.2,6.9,7.9,6.3,7.0,29.1,"7,263","74,718"
27031,Cook County,Minnesota,1.5,6.6,12.6,6.3,9.4,27.3,"8,760","69,447"
56035,Sublette County,Wyoming,13.0,14.0,10.2,6.3,7.3,17.8,"7,284","92,755"
46055,Haakon County,South Dakota,2.4,11.0,12.2,6.3,,21.0,"9,606","60,639"
30001,Beaverhead County,Montana,12.3,8.1,17.7,6.4,8.0,21.3,"8,433","64,856"
8085,Montrose County,Colorado,6.7,10.6,15.1,6.4,7.7,23.1,"6,322","66,576"
30043,Jefferson County,Montana,7.1,6.1,7.8,6.4,7.6,20.5,"6,866","83,162"
8015,Chaffee County,Colorado,6.2,10.0,9.8,6.4,8.7,25.0,"7,744","70,142"
31045,Dawes County,Nebraska,6.5,9.7,14.7,6.5,6.2,18.3,"7,690","61,430"
31135,Perkins County,Nebraska,3.7,4.8,5.0,6.6,9.3,23.0,"10,033","84,188"
2070,Dillingham Census Area,Alaska,8.2,20.9,17.2,6.7,5.9,10.1,"9,206","72,576"
30011,Carter County,Montana,,20.4,13.1,6.7,,22.6,"7,160","64,512"
16061,Lewis County,Idaho,9.6,15.1,16.2,6.7,8.2,24.7,"7,542","54,285"
31165,Sioux County,Nebraska,10.5,8.0,8.5,6.8,,22.1,"6,903","64,729"
27125,Red Lake County,Minnesota,0.8,3.6,10.5,6.8,5.6,20.0,"5,873","70,897"
8079,Mineral County,Colorado,,9.1,13.7,6.8,,26.8,"8,296","74,266"
56033,Sheridan County,Wyoming,10.9,10.6,5.9,6.8,6.5,20.5,"6,641","80,525"
49033,Rich County,Utah,10.5,10.9,12.4,6.9,5.8,21.1,"7,359","77,129"
56023,Lincoln County,Wyoming,7.9,13.7,8.2,6.9,8.7,16.7,"8,465","80,323"
41027,Hood River County,Oregon,3.0,8.4,6.2,6.9,5.5,15.6,"7,001","89,693"
16003,Adams County,Idaho,10.1,12.0,12.1,6.9,9.8,29.5,"7,318","62,433"
2158,Kusilvak Census Area,Alaska,3.2,19.9,39.0,7.0,6.4,5.5,"8,366","47,654"
41037,Lake County,Oregon,10.7,7.6,18.4,7.0,9.1,24.6,"8,162","54,245"
2100,Haines Borough,Alaska,4.2,13.4,11.3,7.0,,25.1,"8,910","72,356"
8093,Park County,Colorado,9.5,8.9,7.3,7.1,11.9,20.0,"6,621","88,346"
16037,Custer County,Idaho,7.9,9.2,18.4,7.1,6.5,32.8,"8,160","52,046"
56007,Carbon County,Wyoming,18.3,10.9,12.4,7.1,9.5,16.3,"6,953","71,697"
49037,San Juan County,Utah,10.4,21.9,25.0,7.1,6.9,13.7,"9,515","59,506"
16025,Camas County,Idaho,,12.1,15.6,7.1,,18.8,"8,890","72,695"
30101,Toole County,Montana,12.8,8.0,12.3,7.1,9.7,16.9,"7,538","68,818"
30091,Sheridan County,Montana,8.2,9.0,10.1,7.2,7.1,23.2,"9,035","76,853"
30061,Mineral County,Montana,13.2,7.7,18.6,7.2,8.1,28.1,"7,843","53,168"
53031,Jefferson County,Washington,2.6,5.4,13.0,7.2,5.7,35.3,"6,606","76,400"
56013,Fremont County,Wyoming,23.4,18.3,13.0,7.2,8.8,17.9,"7,900","73,599"
49017,Garfield County,Utah,12.2,15.8,16.5,7.2,7.3,21.8,"7,175","66,093"
2195,Petersburg Borough,Alaska,,9.6,5.7,7.2,,22.0,"9,373","92,572"
30081,Ravalli County,Montana,12.1,10.9,12.3,7.3,7.0,25.1,"7,149","70,220"
16017,Bonner County,Idaho,5.5,10.3,14.6,7.4,6.5,23.8,"6,931","66,370"
30007,Broadwater County,Montana,7.9,7.2,8.5,7.4,3.6,23.4,"7,072","75,505"
41069,Wheeler County,Oregon,,5.2,14.0,7.4,,35.8,"6,410","48,248"
30065,Musselshell County,Montana,12.4,6.8,12.7,7.4,8.5,25.9,"8,568","55,725"
30009,Carbon County,Montana,10.6,6.9,9.7,7.5,5.6,25.0,"7,988","71,282"
30089,Sanders County,Montana,8.4,11.5,15.9,7.6,8.5,30.0,"6,841","56,419"
31115,Loup County,Nebraska,,5.1,8.6,7.6,,24.5,"9,576","59,443"
16029,Caribou County,Idaho,13.7,7.7,8.8,7.6,8.9,16.7,"10,784","72,773"
41003,Benton County,Oregon,4.1,5.1,19.1,7.6,5.3,15.5,"6,576","84,074"
38027,Eddy County,North Dakota,5.4,5.9,10.8,7.6,6.1,24.9,"6,278","77,286"
48211,Hemphill County,Texas,17.1,23.7,8.2,7.6,4.7,13.2,"7,092","93,374"
53037,Kittitas County,Washington,5.7,6.2,18.0,7.6,6.0,15.7,"7,428","70,805"
2150,Kodiak Island Borough,Alaska,9.5,17.2,7.8,7.7,4.8,9.8,"8,008","94,946"
30079,Prairie County,Montana,,4.0,13.3,7.7,,28.0,"6,532","64,764"
53019,Ferry County,Washington,4.3,7.2,17.3,7.8,7.0,25.4,"6,531","60,967"
8047,Gilpin County,Colorado,11.0,5.7,4.9,7.8,13.8,17.9,"8,908","103,719"
8077,Mesa County,Colorado,7.0,9.7,14.2,7.8,8.2,18.6,"7,195","71,408"
16057,Latah County,Idaho,6.8,6.5,18.1,7.8,5.6,13.0,"7,094","66,546"
30059,Meagher County,Montana,12.3,13.0,11.9,7.9,,24.0,"9,748","59,768"
8023,Costilla County,Colorado,10.0,11.5,27.3,7.9,18.4,27.3,"6,973","46,633"
53039,Klickitat County,Washington,3.3,6.9,15.6,7.9,7.1,23.6,"7,359","72,216"
4023,Santa Cruz County,Arizona,12.4,10.2,23.3,7.9,6.8,17.3,"6,019","61,551"
46081,Lawrence County,South Dakota,3.2,9.3,12.7,7.9,8.2,21.1,"6,857","71,800"
2290,Yukon-Koyukuk Census Area,Alaska,19.3,27.1,25.4,7.9,4.9,14.3,"6,470","53,438"
49043,Summit County,Utah,9.0,6.7,5.6,7.9,9.0,11.8,"7,580","156,817"
16015,Boise County,Idaho,12.3,11.3,10.7,7.9,6.6,24.9,"7,070","72,816"
35049,Santa Fe County,New Mexico,14.8,10.8,12.8,8.0,10.8,23.1,"6,525","88,441"
8067,La Plata County,Colorado,10.3,8.4,9.1,8.0,7.9,16.5,"6,808","94,761"
53051,Pend Oreille County,Washington,5.0,5.8,12.7,8.0,7.1,25.7,"6,894","64,996"
31007,Banner County,Nebraska,,4.2,5.8,8.0,,21.5,"11,111","67,962"
6003,Alpine County,California,,8.9,19.7,8.1,,29.9,"7,856","97,724"
41023,Grant County,Oregon,9.6,5.5,18.1,8.1,7.0,29.2,"7,497","58,025"
8083,Montezuma County,Colorado,10.3,12.1,15.1,8.1,9.0,21.5,"6,960","61,197"
2016,Aleutians West Census Area,Alaska,19.5,17.5,6.8,8.2,6.7,6.1,"6,416","101,964"
31161,Sheridan County,Nebraska,11.5,12.4,17.1,8.2,5.0,25.3,"9,068","66,307"
49051,Wasatch County,Utah,13.1,8.1,5.9,8.2,6.9,11.1,"7,959","110,577"
2090,Fairbanks North Star Borough,Alaska,16.8,9.8,8.0,8.2,5.9,9.8,"6,104","96,615"
30103,Treasure County,Montana,13.0,4.9,17.2,8.2,,28.7,"7,802","58,435"
30037,Golden Valley County,Montana,,10.2,16.6,8.2,,25.4,"5,919","62,931"
30063,Missoula County,Montana,11.7,6.7,14.3,8.2,7.1,15.0,"7,493","74,060"
35055,Taos County,New Mexico,12.2,9.7,18.3,8.2,11.0,25.3,"6,182","58,045"
49055,Wayne County,Utah,11.0,15.5,9.6,8.2,11.3,20.5,"8,824","55,699"
8003,Alamosa County,Colorado,10.5,12.2,23.5,8.2,10.6,13.2,"8,280","56,513"
30055,McCone County,Montana,5.8,6.7,6.2,8.2,,25.1,"8,420","68,249"
6093,Siskiyou County,California,11.2,5.9,18.8,8.3,8.6,24.7,"6,869","64,251"
46071,Jackson County,South Dakota,3.6,27.1,45.4,8.3,6.7,14.3,"9,780","44,355"
30071,Phillips County,Montana,7.7,16.2,12.4,8.4,5.9,22.3,"7,901","59,382"
16059,Lemhi County,Idaho,9.1,11.7,12.1,8.4,6.6,29.3,"7,684","53,967"
30095,Stillwater County,Montana,8.9,6.3,7.2,8.4,8.6,22.0,"8,014","79,373"
41001,Baker County,Oregon,12.9,8.4,12.4,8.5,7.0,25.9,"6,992","63,855"
35033,Mora County,New Mexico,15.9,5.0,20.0,8.5,6.9,30.4,"5,215","43,961"
41063,Wallowa County,Oregon,3.7,4.6,13.6,8.5,5.3,28.2,"8,189","66,631"
30053,Lincoln County,Montana,12.3,10.7,17.4,8.5,6.5,27.7,"7,297","58,054"
49019,Grand County,Utah,10.7,17.1,9.1,8.5,7.1,17.7,"8,339","61,957"
8103,Rio Blanco County,Colorado,6.5,8.4,10.6,8.6,8.8,15.2,"11,045","68,199"
8017,Cheyenne County,Colorado,8.0,11.7,10.2,8.6,,16.5,"11,099","70,046"
27071,Koochiching County,Minnesota,1.4,3.3,13.6,8.6,6.9,24.4,"8,101","65,070"
2198,Prince of Wales-Hyder Census Area,Alaska,5.8,24.7,17.3,8.6,4.6,16.0,"8,043","66,387"
35017,Grant County,New Mexico,17.1,3.7,24.0,8.6,10.4,26.6,"7,207","56,893"
32015,Lander County,Nevada,25.8,6.7,9.7,8.6,10.3,14.1,"8,866","84,729"
8081,Moffat County,Colorado,12.8,15.6,17.0,8.7,8.3,13.8,"9,382","70,569"
