FIPS,County,State,percent_medicalDebt,percent_uninsured,percent_poverty,percent_chronic,percent_live_births,percent_65,medicare_spending,average_income
48489,Willacy County,Texas,27.6,27.6,27.0,39.0,8.5,13.7,"14,326","47,742"
48427,Starr County,Texas,19.7,34.8,34.7,37.7,9.0,11.2,"14,126","47,269"
48247,Jim Hogg County,Texas,38.1,21.5,30.6,33.5,8.5,14.2,"18,274","48,856"
48047,Brooks County,Texas,35.7,22.5,41.4,33.4,9.0,14.6,"15,645","41,308"
12093,Okeechobee County,Florida,23.5,16.1,21.0,33.1,7.3,19.8,"12,404","58,238"
48215,Hidalgo County,Texas,27.4,30.3,29.7,31.6,8.5,10.8,"13,168","58,014"
48131,Duval County,Texas,35.6,22.0,22.8,30.9,8.2,17.6,"17,156","49,597"
20063,Gove County,Kansas,11.5,12.2,10.0,30.3,4.3,26.6,"14,132","63,257"
21237,Wolfe County,Kentucky,21.3,2.3,29.2,30.1,9.4,19.1,"8,662","36,718"
21025,Breathitt County,Kentucky,21.0,4.5,34.4,29.7,11.6,16.5,"10,000","46,260"
12086,Miami-Dade County,Florida,10.9,16.8,17.1,29.7,8.4,16.0,"14,729","79,100"
48249,Jim Wells County,Texas,39.7,18.3,23.2,29.5,10.1,14.9,"15,603","62,079"
47095,Lake County,Tennessee,31.8,11.3,28.6,29.0,10.2,15.5,"14,327","55,768"
21115,Johnson County,Kentucky,33.3,4.4,22.7,29.0,9.9,17.7,"11,070","55,898"
22115,Vernon Parish,Louisiana,19.4,8.9,17.3,28.9,7.4,11.7,"12,396","63,430"
48351,Newton County,Texas,35.3,20.0,24.4,28.8,9.6,20.1,"12,471","54,004"
48263,Kent County,Texas,,4.8,14.5,28.7,,28.1,"12,243","73,663"
22035,East Carroll Parish,Louisiana,28.1,9.0,44.6,28.6,16.1,14.0,"14,580","58,740"
1127,Walker County,Alabama,25.2,11.8,18.1,28.4,10.9,19.0,"10,763","59,159"
48061,Cameron County,Texas,22.2,28.4,28.9,28.4,8.3,13.2,"12,333","55,520"
36047,Kings County,New York,3.4,7.3,20.0,28.2,7.8,13.6,"11,953","91,610"
48273,Kleberg County,Texas,34.3,15.5,27.2,28.2,8.1,13.0,"13,805","59,512"
22117,Washington Parish,Louisiana,29.4,11.8,24.4,28.1,11.9,17.5,"15,121","52,104"
21119,Knott County,Kentucky,15.6,6.1,31.2,28.1,10.3,17.6,"10,139","43,034"
40089,McCurtain County,Oklahoma,23.2,22.2,22.7,28.1,7.8,17.7,"11,362","52,076"
39053,Gallia County,Ohio,12.5,9.7,20.7,27.9,9.5,18.5,"11,468","60,507"
48387,Red River County,Texas,32.6,14.4,19.7,27.7,9.0,24.4,"12,269","52,213"
12027,DeSoto County,Florida,27.8,19.2,26.8,27.6,7.4,21.7,"12,563","49,625"
21217,Taylor County,Kentucky,16.3,4.1,17.9,27.6,8.9,17.4,"11,277","59,529"
40013,Bryan County,Oklahoma,34.4,17.9,17.1,27.4,7.9,17.7,"13,314","61,932"
12049,Hardee County,Florida,23.3,11.7,24.1,27.4,7.3,15.8,"11,225","53,433"
12007,Bradford County,Florida,29.9,11.3,22.2,27.1,11.3,17.8,"12,123","57,585"
39145,Scioto County,Ohio,21.4,5.5,22.6,27.1,8.0,17.8,"13,442","58,968"
22021,Caldwell Parish,Louisiana,29.3,12.9,25.1,27.1,9.2,18.1,"13,694","61,083"
1039,Covington County,Alabama,22.4,11.1,18.6,27.1,10.3,20.8,"11,901","57,075"
12053,Hernando County,Florida,15.8,12.2,14.1,27.0,9.0,27.5,"11,770","62,158"
22039,Evangeline Parish,Louisiana,26.4,11.6,28.7,26.7,10.8,15.1,"13,261","48,970"
54045,Logan County,West Virginia,28.1,7.2,25.4,26.5,11.3,19.4,"10,909","53,008"
40023,Choctaw County,Oklahoma,34.5,22.1,27.7,26.5,9.5,20.3,"12,660","50,312"
48505,Zapata County,Texas,26.3,28.5,34.5,26.4,8.3,13.8,"12,567","60,551"
1055,Etowah County,Alabama,21.1,10.6,17.4,26.4,9.3,18.7,"12,676","60,379"
39131,Pike County,Ohio,22.9,7.1,18.7,26.3,8.9,17.6,"10,928","62,297"
48241,Jasper County,Texas,29.2,17.5,18.5,26.3,8.7,19.4,"12,129","64,222"
12055,Highlands County,Florida,16.8,11.1,18.6,26.2,8.6,35.2,"12,091","59,208"
28003,Alcorn County,Mississippi,16.6,13.7,15.0,26.2,11.5,18.2,"11,306","58,260"
48199,Hardin County,Texas,23.7,14.2,12.1,26.1,8.7,16.5,"12,068","80,698"
48433,Stonewall County,Texas,,14.0,11.9,26.1,,20.3,"14,990","62,955"
12101,Pasco County,Florida,16.4,11.5,12.7,26.0,8.2,22.5,"11,913","71,321"
12043,Glades County,Florida,32.0,24.1,17.4,25.9,8.9,26.9,"10,784","55,963"
54049,Marion County,West Virginia,27.3,5.2,16.4,25.9,10.1,19.1,"10,973","64,299"
20179,Sheridan County,Kansas,6.5,10.3,5.3,25.9,5.9,23.5,"12,107","80,114"
1057,Fayette County,Alabama,20.0,7.6,19.4,25.9,10.5,20.8,"11,068","53,897"
13153,Houston County,Georgia,17.9,11.6,13.9,25.8,8.7,12.4,"10,998","77,239"
37163,Sampson County,North Carolina,26.7,15.7,20.9,25.8,8.9,17.4,"10,525","58,515"
13005,Bacon County,Georgia,20.7,20.6,23.8,25.7,10.6,15.4,"11,610","53,187"
